First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Pluto,Disney,Buy,69,UTEP Commencement 1,3,VIP
Adrian,Rocha,Buy,4,UTEP Football 4,3,Silver
Zachary,Ellison,Buy,11,UTEP Football 11,6,Gold
John,Sanders,Buy,6,UTEP Football 6,5,Bronze
Anthony,Hunter,Buy,44,UTEP Basketball 31,4,Bronze
Michelle,Maynard,Buy,17,UTEP Basketball 4,2,General Admission
Elizabeth,Reyes,Buy,45,UTEP Wind Symphony 1,6,Bronze
Tiffany,May,Buy,4,UTEP Football 4,2,General Admission
Edward,Molina,Buy,64,Justin Timberlake Live,2,Gold
Angela,Carney,Buy,64,Justin Timberlake Live,6,Bronze
Donna,Travis,Buy,63,Shakira Live,6,VIP
Andrew,Garcia,Buy,59,Bad Bunny Live,6,Gold
Alondra,Gonzalez,Buy,28,UTEP Basketball 15,2,Bronze
Kristina,Patrick,Buy,26,UTEP Basketball 13,4,VIP
Christina,Wheeler,Buy,59,Bad Bunny Live,2,Silver
Shane,Arnold,Buy,66,Coachella 2,4,Gold
Erica,Harrison,Buy,36,UTEP Basketball 23,3,Bronze
Jacob,Williams,Buy,48,UTEP Wind Symphony 4,3,Silver
Stephen,Ellis,Buy,30,UTEP Basketball 17,4,VIP
Tyler,Baxter,Buy,42,UTEP Basketball 29,6,Bronze
Colleen,Torres,Buy,31,UTEP Basketball 18,4,Gold
Lisa,Spencer,Buy,22,UTEP Basketball 9,5,Gold
Beth,Sharp,Buy,17,UTEP Basketball 4,5,VIP
Justin,Hawkins,Buy,67,ACL,2,General Admission
Kylie,Summers,Buy,12,UTEP Football 12,3,Bronze
Anthony,Moore,Buy,70,UTEP Commencement 2,2,General Admission
Michael,Ike,Buy,55,UTEP Wind Symphony 11,2,Gold
Kylie,King,Buy,44,UTEP Basketball 31,4,Bronze
Brandon,Flores,Buy,49,UTEP Wind Symphony 5,3,Bronze
Alexander,Kelly,Buy,44,UTEP Basketball 31,6,Bronze
Paul,Harmon,Buy,35,UTEP Basketball 22,2,Bronze
David,Gross,Buy,52,UTEP Wind Symphony 8,6,General Admission
