Money Available,Last Name,Password,Tickets Purchased,TicketMiner Membership,First Name,ID,Username
5999.17,Henry,Fun!23,0,FALSE,Lawrence,673,henrylawrence
5997.91,Hunter,Fun!23,0,TRUE,William,275,hunterwilliam
5989.7,Cummings,Fun!23,0,FALSE,Michele,395,cummingsmichele
5989.2,Best,Fun!23,0,TRUE,Jeffrey,705,bestjeffrey
5989.03,Disney,Fun!23,0,FALSE,Goofy,4,goofydisney
5970.58,Horne,Fun!23,0,TRUE,Noah,530,hornenoah
5968.49,Ellis,Fun!23,0,FALSE,Keith,403,elliskeith
5966.73,Vazquez,Fun!23,0,FALSE,Eric,198,vazquezeric
5963.63,Petersen,Fun!23,0,TRUE,Carmen,996,petersencarmen
5958.62,Ortiz,Fun!23,0,TRUE,Keith,196,ortizkeith
5955.62,Carney,Fun!23,0,TRUE,Angela,752,carneyangela
5954.37,Giles,Fun!23,0,FALSE,Cynthia,694,gilescynthia
5951.81,DiazCaraveo,Fun!23,0,TRUE,Cesar,52,diazcaraveocesar
5949.44,Anderson,Fun!23,0,TRUE,Jessica,499,andersonjessica
5944.65,Bryant,Fun!23,0,TRUE,Douglas,742,bryantdouglas
5942.68,Padilla,Fun!23,0,FALSE,Brooke,264,padillabrooke
5941.98,Davis,Fun!23,0,TRUE,Tanya,280,davistanya
5930.59,Sawyer,Fun!23,0,TRUE,Kendra,1047,sawyerkendra
5930.31,Brady,Fun!23,0,TRUE,Emily,447,bradyemily
5927,Dixon,Fun!23,0,TRUE,Terrence,981,dixonterrence
5925.8,Glenn,Fun!23,0,FALSE,Patricia,353,glennpatricia
5915.48,Johnson,Fun!23,0,TRUE,David,1011,johnsondavid
5913.88,Chaney,Fun!23,0,TRUE,Philip,466,chaneyphilip
5908.75,Smith,Fun!23,0,FALSE,Jessica,1037,smithjessica
5903.15,Hudson,Fun!23,0,TRUE,Crystal,118,hudsoncrystal
5893.97,Clark,Fun!23,0,TRUE,Theresa,588,clarktheresa
5888.91,Davis,Fun!23,0,FALSE,Tiffany,532,davistiffany
5885.29,Dalton,Fun!23,0,FALSE,Anthony,469,daltonanthony
5883.51,English,Fun!23,0,FALSE,Angela,1041,englishangela
5882.42,Solomon,Fun!23,0,TRUE,Luis,993,solomonluis
5877.49,Beltran,Fun!23,0,TRUE,Gerald,569,beltrangerald
5874.23,Jones,Fun!23,0,FALSE,Ashley,251,jonesashley
5869.38,Lynch,Fun!23,0,FALSE,Carlos,1021,lynchcarlos
5862.57,Lopez,Fun!23,0,TRUE,April,923,lopezapril
5861.98,Davis,Fun!23,0,FALSE,Joseph,895,davisjoseph
5860.18,Rodriguez,Fun!23,0,FALSE,Tara,459,rodrigueztara
5860,Morse,Fun!23,0,TRUE,Amy,904,morseamy
5857.56,Chapman,Fun!23,0,FALSE,Mary,520,chapmanmary
5856.5,Gutierrez,Fun!23,0,TRUE,Anna,247,gutierrezanna
5855.29,Castillo,Fun!23,0,TRUE,Sharon,950,castillosharon
5855.07,Costa,Fun!23,0,TRUE,David,587,costadavid
5853.05,Marquez,Fun!23,0,TRUE,Jeffrey,254,marquezjeffrey
5843.9,Holden,Fun!23,0,FALSE,Chris,268,holdenchris
5841.32,Mills,Fun!23,0,FALSE,Jennifer,522,millsjennifer
5840.28,Wolfe,Fun!23,0,TRUE,Jason,336,wolfejason
5836.63,Smith,Fun!23,0,TRUE,Kenneth,362,smithkenneth
5815.36,Jones,Fun!23,0,TRUE,Jennifer,825,jonesjennifer
5812.98,Scott,Fun!23,0,TRUE,Kevin,342,scottkevin
5810.85,Kent,Fun!23,0,FALSE,Tanya,402,kenttanya
5807.28,Evans,Fun!23,0,FALSE,Tyler,939,evanstyler
5806.48,Powell,Fun!23,0,TRUE,Cynthia,596,powellcynthia
5805.37,Smith,Fun!23,0,TRUE,Dennis,753,smithdennis
5803.95,Gates,Fun!23,0,FALSE,Brian,611,gatesbrian
5800.92,Ellis,Fun!23,0,TRUE,Christine,699,ellischristine
5800.16,Mcdonald,Fun!23,0,FALSE,Katherine,959,mcdonaldkatherine
5792.3,Rowland,Fun!23,0,FALSE,Nicole,205,rowlandnicole
5788.5,Campbell,Fun!23,0,TRUE,Zachary,997,campbellzachary
5788.24,Disney,Fun!23,0,FALSE,Aladdin,11,aladdindisney
5779.9,Disney,Fun!23,0,FALSE,Woody,16,woodydisney
5766.42,Humphrey,Fun!23,0,TRUE,Susan,265,humphreysusan
5764.84,Shepherd,Fun!23,0,TRUE,Amanda,340,shepherdamanda
5758.61,Sanders,Fun!23,0,FALSE,Thomas,715,sandersthomas
5757.77,Blackwell,Fun!23,0,FALSE,Sandy,756,blackwellsandy
5757.51,King,Fun!23,0,FALSE,Kylie,946,kingkylie
5749.35,Gutierrez,Fun!23,0,TRUE,Ian,62,gutierrezian
5746.88,Queen,Fun!23,0,TRUE,Evil,29,evilqueen
5740.7,Mathis,Fun!23,0,FALSE,Brett,954,mathisbrett
5740,Sloan,Fun!23,0,FALSE,Jeffrey,351,sloanjeffrey
5738.34,Green,Fun!23,0,TRUE,Chad,830,greenchad
5736.45,Mcdonald,Fun!23,0,FALSE,Melissa,660,mcdonaldmelissa
5725.53,Harvey,Fun!23,0,TRUE,David,609,harveydavid
5723.04,Mccormick,Fun!23,0,FALSE,Melissa,113,mccormickmelissa
5720.1,Jones,Fun!23,0,TRUE,Tiffany,768,jonestiffany
5719.72,Summers,Fun!23,0,TRUE,Kara,925,summerskara
5719.19,Lion,Fun!23,0,FALSE,Scar,23,scarlion
